,Address,NoOfBedrooms,NoOfBathrooms,AreaSqYards
3599,"North Nazimabad - Block L, North Nazimabad",2.0,2.0,122
17310,"Nazimabad 3, Nazimabad",2.0,2.0,89
18529,"Gulistan-e-Jauhar, Karachi",3.0,3.0,161
10147,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
3117,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
2278,"Bahria Town - Precinct 6, Bahria Town Karachi",5.0,5.0,250
12742,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
3135,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",3.0,3.0,178
15972,"Clifton - Block 5, Clifton",2.0,2.0,111
6584,"Chapal Courtyard, Karachi",3.0,3.0,161
2510,"DHA Phase 6, DHA Defence",4.0,4.0,260
13478,"Emaar Panorama, DHA Phase 8",4.0,5.0,444
3144,"Bahria Town - Precinct 9, Bahria Town Karachi",5.0,5.0,500
19408,"DHA Phase 1, DHA Defence",6.0,6.0,640
12463,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
52,"Bahria Apartments, Bahria Town Karachi",1.0,1.0,59
12450,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
11303,"Malir, Karachi",4.0,4.0,200
12278,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
9350,"Askari 5 - Sector J, Askari 5",3.0,4.0,304
16008,"Sea View Apartments, Karachi",3.0,3.0,256
5052,"North Nazimabad - Block D, North Nazimabad",8.0,6.0,200
15542,"Clifton - Block 1, Clifton",4.0,4.0,169
17987,"North Nazimabad - Block N, North Nazimabad",3.0,3.0,139
11100,"DHA Phase 8, DHA Defence",6.0,7.0,666
12366,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
17993,"North Nazimabad - Block N, North Nazimabad",2.0,2.0,106
19320,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",3.0,4.0,185
9893,"North Nazimabad - Block C, North Nazimabad",3.0,3.0,400
7120,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",3.0,3.0,161
3408,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,3.0,235
3265,"Askari 5, Malir Cantonment",3.0,4.0,286
3473,"DHA Phase 5, DHA Defence",2.0,2.0,128
10188,"DHA Phase 6, DHA Defence",6.0,7.0,500
5171,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",2.0,2.0,111
13424,"Gulshan-e-Jamal, Gulshan-e-Iqbal Town",2.0,2.0,117
14490,"KDA Officers Society, Gulshan-e-Iqbal Town",4.0,5.0,240
9450,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
17790,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",2.0,2.0,83
18250,"Sehar Commercial Area, DHA Phase 7",3.0,3.0,233
6002,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",2.0,2.0,106
15658,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3.0,3.0,125
19195,"De Comforts, Federal B Area - Block 8",2.0,2.0,120
14419,"Gulistan-e-Jauhar - Block 10, Gulistan-e-Jauhar",3.0,3.0,267
8306,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
12740,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
3160,other,5.0,5.0,300
2198,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",2.0,2.0,120
7914,"Bahria Town Karachi, Karachi",3.0,3.0,45
5282,"Askari 5 - Sector H, Askari 5",5.0,5.0,427
1046,"Askari 5, Malir Cantonment",3.0,3.0,286
4002,other,4.0,5.0,120
6629,"Model Colony - Malir, Malir",6.0,6.0,240
6089,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",3.0,3.0,178
11360,"Emaar Coral Towers, Emaar Crescent Bay",2.0,2.0,222
2545,"Navy Housing Scheme Karsaz - Phase 3, Navy Housing Scheme Karsaz",5.0,6.0,350
9229,"DHA Phase 8, DHA Defence",4.0,5.0,120
10017,"Bahria Apartments, Bahria Town Karachi",4.0,4.0,328
3194,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,467
3706,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",2.0,2.0,139
18406,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",4.0,4.0,300
3729,"Gulshan-e-Iqbal - Block 13/A, Gulshan-e-Iqbal",6.0,6.0,378
11052,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
2701,"Bahria Town - Precinct 6, Bahria Town Karachi",2.0,3.0,103
17939,"North Nazimabad - Block L, North Nazimabad",2.0,3.0,78
15101,"Bahria Town - Precinct 4, Bahria Town Karachi",1.0,1.0,60
5234,"Askari 5 - Sector G, Askari 5",5.0,5.0,500
9740,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
1230,"DHA Phase 8, DHA Defence",3.0,4.0,189
9897,other,3.0,4.0,222
17263,other,6.0,6.0,240
15678,"DHA Phase 8, DHA Defence",5.0,5.0,500
4492,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
10465,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
18356,"Rafi Premier Residency, Scheme 33",3.0,4.0,194
5387,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",6.0,6.0,400
12681,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
9731,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
2309,"Bahria Town - Precinct 12, Bahria Town Karachi",3.0,3.0,125
6871,"Model Colony - Malir, Malir",4.0,6.0,131
11274,"Askari 5, Malir Cantonment",3.0,3.0,267
6351,"Grey Noor Tower & Shopping Mall, Scheme 33",3.0,4.0,200
11015,"Clifton - Block 3, Clifton",4.0,3.0,244
2880,"Falcon Complex New Malir, Malir",5.0,5.0,500
3391,"DHA Phase 4, DHA Defence",6.0,6.0,600
7824,"DHA Phase 6, DHA Defence",4.0,5.0,360
4607,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",3.0,3.0,160
6166,"Bahria Town - Precinct 31, Bahria Town Karachi",3.0,3.0,235
18349,"Gulistan-e-Jauhar - Block 18, Gulistan-e-Jauhar",3.0,3.0,137
11908,"Bahria Town - Precinct 2, Bahria Town Karachi",3.0,3.0,234
12543,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
3782,"DHA Phase 8, DHA Defence",6.0,6.0,500
17207,"Badar Commercial Area, DHA Phase 5",2.0,2.0,111
4448,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
2120,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",2.0,2.0,120
6545,"Clifton - Block 3, Clifton",3.0,3.0,178
18275,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",4.0,5.0,120
9976,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,3.0,235
16274,"KDA Scheme 1, Karachi",4.0,4.0,300
17261,"Gulshan-e-Maymar - Sector X, Gulshan-e-Maymar",6.0,5.0,200
5082,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",6.0,6.0,240
16137,other,2.0,2.0,120
11518,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",2.0,2.0,111
1061,"Bahria Town - Precinct 19, Bahria Town Karachi",2.0,2.0,103
1109,"Falcon Complex New Malir, Malir",5.0,5.0,500
11933,"Shaheed Millat Road, Karachi",3.0,3.0,183
5616,"Salafia Society, Taiser Town",2.0,3.0,120
16698,"DHA Phase 6, DHA Defence",6.0,6.0,300
10582,"Bahadurabad, Gulshan-e-Iqbal Town",2.0,2.0,111
17469,"Gulshan-e-Kaneez Fatima - Block 1, Gulshan-e-Kaneez Fatima",6.0,6.0,400
12384,"Askari 5 - Sector H, Askari 5",5.0,5.0,427
6234,"Federal B Area - Block 15, Federal B Area",2.0,2.0,60
8548,"Emaar Coral Towers, Emaar Crescent Bay",4.0,5.0,356
6780,"Garden West, Karachi",2.0,2.0,130
14460,"Askari 5 - Sector J, Askari 5",5.0,7.0,375
15329,"DHA Phase 8, DHA Defence",2.0,2.0,197
7675,"SMCHS - Sindhi Muslim Society, Jamshed Town",5.0,6.0,150
18008,"Gulshan-e-Iqbal - Block 13/A, Gulshan-e-Iqbal",3.0,3.0,156
2355,"Bahria Town - Precinct 35, Bahria Sports City",4.0,4.0,350
3420,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",1.0,1.0,94
9368,"Model Colony - Malir, Malir",4.0,5.0,150
12734,"Askari 5, Malir Cantonment",3.0,3.0,249
4128,"Clifton - Block 2, Clifton",3.0,3.0,200
5051,"Nazimabad, Karachi",2.0,3.0,108
3195,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,467
11790,"Bahria Town - Precinct 6, Bahria Town Karachi",5.0,6.0,250
16929,"Saima Arabian Villas, Gadap Town",3.0,3.0,160
14186,"Falcon Complex New Malir, Malir",4.0,4.0,350
2762,other,5.0,4.0,120
11657,"Shaheed Millat Road, Karachi",2.0,2.0,113
2320,"Askari 5 - Sector J, Askari 5",3.0,4.0,289
14484,"KDA Officers Society, Gulshan-e-Iqbal Town",6.0,6.0,450
2992,"Bahria Town Karachi, Karachi",2.0,2.0,35
9298,"Bahria Town - Precinct 1, Bahria Town Karachi",4.0,4.0,272
8533,"Falcon Complex New Malir, Malir",5.0,5.0,500
10946,"Askari 5 - Sector J, Askari 5",3.0,4.0,300
3663,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
18111,"Saima Elite Villas, Malir",4.0,3.0,240
16783,"DHA Phase 4, DHA Defence",2.0,2.0,106
7827,"DHA Phase 8 - Zone A, DHA Phase 8",5.0,5.0,500
5427,"Ittehad Commercial Area, DHA Phase 6",3.0,3.0,211
16526,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
8101,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
4851,"Shamsi Society, Shah Faisal Town",3.0,3.0,140
2035,"Defence View Society, Karachi",3.0,3.0,133
13251,"North Nazimabad, Karachi",3.0,4.0,160
16562,"Gulshan-e-Rafi, Malir",2.0,2.0,80
19188,"North Nazimabad - Block F, North Nazimabad",2.0,2.0,106
14732,"Bukhari Commercial Area, DHA Phase 6",3.0,3.0,161
6582,"Saima Arabian Villas, Gadap Town",4.0,4.0,120
12145,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,110
1245,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
4297,"Clifton - Block 4, Clifton",3.0,3.0,222
18181,"PECHS Block 3, PECHS",5.0,6.0,270
13743,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",3.0,3.0,133
2132,"Bahria Town Karachi, Karachi",2.0,2.0,35
11646,"Grey Noor Tower & Shopping Mall, Scheme 33",3.0,3.0,150
5971,"Emaar Pearl Towers, Emaar Crescent Bay",3.0,3.0,272
3981,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",6.0,6.0,240
12898,"Jinnah Avenue, Karachi",2.0,2.0,152
14247,"DHA Phase 2 Extension, DHA Defence",3.0,3.0,178
10977,"HMR Waterfront, DHA Phase 8",1.0,2.0,114
12035,"Saadi Town - Block 3, Saadi Town",4.0,5.0,120
11461,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",1.0,1.0,94
15197,"Clifton - Block 2, Clifton",3.0,3.0,178
1977,"DHA Phase 6, DHA Defence",3.0,4.0,222
19129,"Clifton - Block 5, Clifton",3.0,3.0,200
10436,"Sharfabad, Gulshan-e-Iqbal Town",3.0,3.0,172
18504,"Model Colony - Malir, Malir",6.0,4.0,240
4658,"Bahria Town - Precinct 2, Bahria Town Karachi",3.0,3.0,304
16823,"Emaar Pearl Towers, Emaar Crescent Bay",3.0,4.0,272
11943,other,3.0,3.0,286
2277,"Bahria Town - Precinct 6, Bahria Town Karachi",5.0,4.0,250
3384,"Karachi University Housing Society, Scheme 33",3.0,3.0,128
14214,"DHA Phase 8, DHA Defence",4.0,4.0,233
14569,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
18634,other,2.0,2.0,77
1944,"Shaheed Millat Road, Karachi",4.0,5.0,244
15560,"DHA Phase 8, DHA Defence",3.0,4.0,272
8610,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
6294,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,350
15163,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
713,"Bahria Town Karachi, Karachi",5.0,5.0,500
14761,"Askari 5 - Sector J, Askari 5",5.0,7.0,375
4614,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
15303,other,2.0,2.0,90
8070,other,3.0,4.0,251
11191,"DHA Phase 8, DHA Defence",5.0,6.0,500
257,"Emaar Panorama, DHA Phase 8",3.0,5.0,311
16954,"DHA Phase 8, DHA Defence",5.0,5.0,300
9228,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
5713,"Creek Vista, DHA Phase 8",4.0,5.0,611
12786,"Askari 5, Malir Cantonment",3.0,3.0,286
19345,"Gohar Green City, Karachi",2.0,2.0,67
15965,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",3.0,3.0,178
18940,"Rafi Premier Residency, Scheme 33",3.0,2.0,161
563,"Emaar Coral Towers, Emaar Crescent Bay",3.0,4.0,500
2459,"Bahria Town - Precinct 8, Bahria Town Karachi",5.0,6.0,272
18723,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",4.0,4.0,300
9813,"Askari 5 - Sector G, Askari 5",5.0,5.0,500
9668,"Askari 5 - Sector B, Askari 5",5.0,5.0,500
2133,other,3.0,3.0,250
11322,"DHA Phase 4, DHA Defence",2.0,2.0,100
16692,"DHA Phase 4, DHA Defence",4.0,4.0,360
16388,"Khalid Bin Walid Road, Karachi",3.0,3.0,194
15728,"PECHS Block 2, PECHS",4.0,4.0,244
5185,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
886,"Askari 5 - Sector J, Askari 5",5.0,6.0,375
18430,"Naya Nazimabad - Block C, Naya Nazimabad",6.0,6.0,240
13794,"Clifton - Block 8, Clifton",3.0,4.0,211
636,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
11130,other,3.0,2.0,80
3613,other,2.0,2.0,60
13560,"Bahria Town - Precinct 10, Bahria Town Karachi",3.0,3.0,200
5575,"Shahmir Residency, University Road",4.0,4.0,120
11909,"Bahria Town - Precinct 2, Bahria Town Karachi",3.0,3.0,265
8837,"Gulistan-e-Jauhar - Block 19, Gulistan-e-Jauhar",2.0,2.0,106
10514,"Khalid Bin Walid Road, Karachi",2.0,2.0,122
10368,"North Nazimabad - Block F, North Nazimabad",3.0,3.0,178
8508,"Falcon Complex New Malir, Malir",5.0,5.0,500
5945,"Diamond Tower & Shopping Mall, Gulshan-e-Maymar - Sector W",2.0,2.0,72
743,"Clifton - Block 2, Clifton",3.0,3.0,222
2147,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",2.0,2.0,120
15916,"Falcon Complex New Malir, Malir",5.0,5.0,500
19317,other,3.0,3.0,240
2633,"Bahria Town - Precinct 10, Bahria Town Karachi",2.0,2.0,106
7225,other,2.0,2.0,72
1202,"Shamsi Society, Shah Faisal Town",3.0,3.0,111
18268,"Clifton - Block 8, Clifton",3.0,4.0,200
4189,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,103
12199,"DHA Phase 5 Extension, DHA Phase 5",6.0,6.0,500
4817,"Falaknaz Dreams, Malir",2.0,2.0,114
9575,"Askari 5, Malir Cantonment",3.0,3.0,286
763,"Bahria Town Karachi, Karachi",4.0,4.0,272
15331,"DHA Phase 8, DHA Defence",2.0,2.0,189
9951,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,152
9251,"Bahria Town Karachi, Karachi",1.0,1.0,56
16098,"Gulshan-e-Iqbal - Block 13/D, Gulshan-e-Iqbal",6.0,6.0,240
4375,"Saima Elite Villas, Malir",4.0,3.0,160
410,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
9443,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
15558,"DHA Phase 8, DHA Defence",3.0,4.0,272
15161,"Falcon Complex New Malir, Malir",5.0,6.0,350
8511,"Falcon Complex New Malir, Malir",4.0,4.0,350
1860,"Bahria Town Karachi, Karachi",4.0,4.0,60
9823,"Askari 5, Malir Cantonment",3.0,3.0,286
8640,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,3.0,235
6625,"Musalmanan-E-Punjab Cooperative Housing Society, Scheme 33 - Sector 20-A",3.0,2.0,120
15653,"Gulistan-e-Jauhar - Block 3, Gulistan-e-Jauhar",4.0,4.0,200
1210,"Askari 5 - Sector J, Askari 5",4.0,5.0,333
8175,"Bahria Town - Precinct 1, Bahria Town Karachi",4.0,4.0,272
19302,"DHA Phase 8, DHA Defence",6.0,7.0,500
6284,"Bahria Town - Precinct 19, Bahria Town Karachi",2.0,1.0,58
2828,"DHA Phase 6, DHA Defence",6.0,6.0,666
17843,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",4.0,4.0,110
5620,"Askari 5 - Sector J, Askari 5",4.0,4.0,367
19218,"Federal B Area - Block 11, Federal B Area",3.0,3.0,400
19230,other,6.0,6.0,133
17062,"Gulshan-e-Iqbal - Block 13/D, Gulshan-e-Iqbal",6.0,6.0,240
5293,"Askari 5, Malir Cantonment",3.0,3.0,286
5973,"Emaar Pearl Towers, Emaar Crescent Bay",3.0,4.0,256
14113,"DHA Phase 5, DHA Defence",5.0,5.0,500
10163,"Saima Royal Residency, Rashid Minhas Road",3.0,4.0,189
12245,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",2.0,2.0,133
15924,"Karachi Administration Employees Society, Jamshed Town",4.0,4.0,275
5015,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",3.0,3.0,150
3133,"Bahria Apartments, Bahria Town Karachi",3.0,3.0,220
19161,"Bahria Town Karachi, Karachi",2.0,2.0,90
18869,"Gulistan-e-Jauhar - Block 3, Gulistan-e-Jauhar",6.0,6.0,240
16490,"Falcon Complex New Malir, Malir",5.0,5.0,500
2707,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
15967,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",2.0,2.0,83
2613,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",4.0,4.0,120
3175,"Emaar Pearl Towers, Emaar Crescent Bay",2.0,3.0,198
3032,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
8830,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
13815,"DHA Phase 5 Extension, DHA Phase 5",5.0,5.0,600
7670,other,1.0,1.0,40
5870,"Diamond Tower & Shopping Mall, Gulshan-e-Maymar - Sector W",2.0,2.0,78
11594,"Diamond City, Gulshan-e-Maymar",2.0,2.0,80
14189,"Falcon Complex New Malir, Malir",4.0,4.0,350
18285,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",2.0,2.0,100
19232,"Gulistan-e-Jauhar - Block 11, Gulistan-e-Jauhar",2.0,2.0,80
5946,"Diamond Tower & Shopping Mall, Gulshan-e-Maymar - Sector W",2.0,2.0,133
11525,other,3.0,3.0,167
12933,"DHA Phase 6, DHA Defence",5.0,5.0,500
17947,"North Nazimabad - Block I, North Nazimabad",2.0,2.0,106
13004,"Bath Island, Karachi",3.0,3.0,222
4813,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",2.0,2.0,103
12659,"Falcon Complex New Malir, Malir",4.0,4.0,350
13733,"DHA Phase 6, DHA Defence",6.0,6.0,500
214,"North Nazimabad - Block B, North Nazimabad",2.0,2.0,122
9803,"Askari 5 - Sector H, Askari 5",5.0,5.0,427
17066,"North Karachi, Karachi",3.0,2.0,80
7102,"DHA Phase 6, DHA Defence",4.0,5.0,250
3750,"Sector 25-A - Punjabi Saudagar Multi Purpose Society, Scheme 33 - Sector 25-A",4.0,4.0,120
13573,"Bahria Town - Precinct 6, Bahria Town Karachi",3.0,3.0,139
2102,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3.0,3.0,125
33,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
690,"Bahria Town Karachi, Karachi",4.0,4.0,272
12646,"Bahria Town - Precinct 31, Bahria Town Karachi",3.0,3.0,235
9961,"Bahria Town - Precinct 35, Bahria Sports City",4.0,4.0,350
17713,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",3.0,4.0,400
2329,"Falcon Complex New Malir, Malir",5.0,5.0,500
5641,"Emaar Coral Towers, Emaar Crescent Bay",3.0,3.0,278
15286,"Bahria Town - Precinct 35, Bahria Sports City",4.0,5.0,350
4577,"DHA Phase 6, DHA Defence",6.0,6.0,500
15451,"Gulshan-e-Maymar, Gadap Town",6.0,6.0,200
16444,other,4.0,4.0,300
9844,"North Nazimabad - Block F, North Nazimabad",10.0,8.0,500
2737,other,4.0,4.0,335
514,other,3.0,3.0,152
6197,"North Nazimabad - Block D, North Nazimabad",2.0,2.0,100
17193,"Sector 25-A - Punjabi Saudagar Multi Purpose Society, Scheme 33 - Sector 25-A",4.0,4.0,120
5781,other,2.0,2.0,106
9994,other,7.0,8.0,500
6845,"Grey Noor Tower & Shopping Mall, Scheme 33",3.0,3.0,156
11243,"Bahria Sports City, Bahria Town Karachi",4.0,4.0,350
7360,"Cantt Bazar, Malir Cantonment",2.0,2.0,135
2606,"Emaar Pearl Towers, Emaar Crescent Bay",2.0,4.0,182
9922,"Bath Island, Karachi",4.0,4.0,267
18216,"Gulistan-e-Jauhar - Block 18, Gulistan-e-Jauhar",2.0,2.0,78
12336,"Askari 5, Malir Cantonment",4.0,4.0,333
7503,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",3.0,3.0,167
11310,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",6.0,6.0,240
18364,"Gulshan-e-Maymar, Gadap Town",4.0,5.0,120
16758,"DHA Phase 4, DHA Defence",6.0,6.0,300
6224,"Gulshan-e-Iqbal Town, Karachi",3.0,3.0,240
25,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3.0,3.0,152
11073,"DHA Phase 6, DHA Defence",4.0,5.0,300
17203,"Saima Arabian Villas, Gadap Town",3.0,3.0,160
17633,"PECHS Block 2, PECHS",6.0,7.0,300
2114,"Navy Housing Scheme Karsaz, Karachi",5.0,5.0,511
3322,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
11506,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",3.0,2.0,117
2935,"Falcon Complex New Malir, Malir",5.0,6.0,500
17764,"Civil Lines, Karachi",4.0,5.0,267
18650,"North Nazimabad - Block F, North Nazimabad",4.0,5.0,267
11598,"Model Colony - Malir, Malir",4.0,3.0,400
12083,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",3.0,3.0,240
7854,"Bahria Town Karachi, Karachi",2.0,2.0,35
10047,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3.0,3.0,152
3945,other,3.0,3.0,128
3692,"DHA Phase 4, DHA Defence",6.0,6.0,500
18793,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A",4.0,5.0,120
15093,"Gulshan-e-Maymar - Sector Z, Gulshan-e-Maymar",2.0,2.0,106
15230,"Falcon Complex New Malir, Malir",4.0,4.0,350
9931,"ARY Laguna, DHA City Karachi",3.0,3.0,161
11543,"City Tower And Shopping Mall, University Road",3.0,3.0,178
19184,"Federal B Area - Block 6, Federal B Area",6.0,6.0,600
4478,other,2.0,2.0,205
19417,"City Tower And Shopping Mall, University Road",2.0,2.0,150
10175,"Saima Luxury Homes, Karachi",5.0,5.0,240
6203,"Saima Elite Villas, Malir",3.0,3.0,120
5300,"Askari 5, Malir Cantonment",3.0,3.0,286
12976,"North Nazimabad - Block L, North Nazimabad",3.0,4.0,233
10289,"North Nazimabad - Block B, North Nazimabad",3.0,4.0,233
12462,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
16228,"Amir Khusro, Karachi",5.0,5.0,250
15063,"Askari 5 - Sector G, Askari 5",5.0,5.0,500
7468,"DHA Phase 7, DHA Defence",3.0,3.0,133
17687,"PECHS Block 2, PECHS",3.0,3.0,150
3906,"DHA Phase 8, DHA Defence",4.0,4.0,100
9829,"Falcon Complex New Malir, Malir",5.0,5.0,500
11973,"Bahria Town - Precinct 19, Bahria Town Karachi",2.0,2.0,106
16896,"Emaar Pearl Towers, Emaar Crescent Bay",2.0,3.0,241
13048,"Askari 5 - Sector G, Askari 5",5.0,5.0,500
13530,"Bahria Town - Precinct 6, Bahria Town Karachi",2.0,2.0,117
8183,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
10464,"Bahria Town - Precinct 15-A, Bahria Town - Precinct 15",3.0,3.0,125
11374,"Grey Noor Tower & Shopping Mall, Scheme 33",2.0,2.0,83
16845,"Clifton, Karachi",4.0,4.0,250
5432,other,2.0,2.0,120
10415,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,152
1249,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,152
16094,"Pilibhit Cooperative Housing Society, Scheme 33 - Sector 18-A",6.0,6.0,240
5182,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
13561,"Bahria Town - Precinct 6, Bahria Town Karachi",3.0,3.0,139
1247,"Falcon Complex New Malir, Malir",4.0,4.0,350
139,"Mashraqi Society, Scheme 33 - Sector 52-A",4.0,3.0,120
15266,"DHA Phase 6, DHA Defence",6.0,7.0,666
14362,other,3.0,3.0,156
5392,"Bahria Town - Precinct 4, Bahria Town Karachi",5.0,5.0,500
237,"Shamsi Society, Shah Faisal Town",2.0,2.0,120
11814,"DHA Phase 5, DHA Defence",6.0,6.0,500
3151,"Bahria Town Karachi, Karachi",2.0,2.0,92
12256,"Bahria Town Karachi, Karachi",1.0,1.0,94
247,other,4.0,4.0,120
3855,"Saima Jinnah Avenue, Malir",2.0,2.0,117
12319,"Bahria Town - Precinct 18, Bahria Town Karachi",2.0,2.0,122
17663,"Diamond City, Gulshan-e-Maymar",2.0,3.0,100
41,"Bahria Sports City, Bahria Town Karachi",4.0,4.0,350
12957,"Frere Town, Karachi",2.0,2.0,133
12936,"Emaar Panorama, DHA Phase 8",2.0,2.0,260
7540,other,3.0,2.0,105
9271,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
14586,"Clifton - Block 8, Clifton",3.0,3.0,222
18234,"Federal B Area - Block 8, Federal B Area",2.0,2.0,120
13739,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
14638,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
14763,"Askari 5 - Sector J, Askari 5",5.0,7.0,375
7554,"Diamond Tower & Shopping Mall, Gulshan-e-Maymar - Sector W",2.0,2.0,72
3521,"Askari 5, Malir Cantonment",3.0,3.0,306
16741,"DHA Phase 6, DHA Defence",4.0,5.0,250
19273,other,3.0,3.0,80
13454,"Bahria Sports City, Bahria Town Karachi",4.0,4.0,350
18035,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",2.0,2.0,100
16787,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
17291,"Sanober Twin Tower, Saadi Road",2.0,2.0,122
7541,other,2.0,2.0,106
9645,"Askari 5, Malir Cantonment",3.0,3.0,286
9230,"DHA Phase 8, DHA Defence",5.0,6.0,500
5677,"North Nazimabad - Block H, North Nazimabad",3.0,3.0,233
6127,other,2.0,2.0,122
1638,"DHA Phase 2, DHA Defence",4.0,6.0,600
17101,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",3.0,3.0,156
